,area__rucc,area__urban_influence,econ__economic_typology,econ__pct_civilian_labor,econ__pct_unemployment,econ__pct_uninsured_adults,econ__pct_uninsured_children,demo__pct_female,demo__pct_below_18_years_of_age,demo__pct_aged_65_years_and_older,demo__pct_hispanic,demo__pct_non_hispanic_african_american,demo__pct_non_hispanic_white,demo__pct_american_indian_or_alaskan_native,demo__pct_asian,demo__pct_adults_less_than_a_high_school_diploma,demo__pct_adults_with_high_school_diploma,demo__pct_adults_with_some_college,demo__pct_adults_bachelors_or_higher,demo__birth_rate_per_1k,demo__death_rate_per_1k,health__pct_adult_obesity,health__pct_adult_smoking,health__pct_diabetes,health__pct_low_birthweight,health__pct_physical_inacticity,health__air_pollution_particulate_matter,health__motor_vehicle_crash_deaths_per_100k,health__pop_per_dentist,health__pop_per_primary_care_physician,yr,heart_disease_mortality_per_100k,health__pct_excessive_drinking
584,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.391,0.083,0.2,0.063,0.458,0.196,0.193,0.002,0.077,0.74,0.129,0,0.177419355,0.440524194,0.256048387,0.126008065,9,11,0.325,0.241,0.12,0.062,0.221,10,51.35,1730,960,a,323,0.215
585,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Manufacturing-dependent,0.36,0.074,0.258,0.113,0.504,0.238,0.15,0.027,0.31,0.662,0,0.002,0.206930693,0.352475248,0.318811881,0.121782178,14,11,0.38,0.286,0.169,0.128,0.349,12,52.54,6270,2109,b,392,0.113
586,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.517,0.045,0.225,0.105,0.503,0.237,0.19,0.145,0.005,0.825,0.018,0.013,0.127382146,0.289869609,0.368104313,0.214643932,13,11,0.245,0.141,0.096,0.053,0.241,10,24.74,1409,2819,a,226,0.1
587,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.479,0.058,0.249,0.047,0.516,0.24,0.141,0.025,0.252,0.696,0.006,0.007,0.139086294,0.359390863,0.29035533,0.211167513,14,10,0.351,0.224,0.128,0.109,0.309,10,23.23,1979,1560,b,387,0.155
588,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.436,0.07,0.163,0.078,0.463,0.19,0.19,0.039,0.035,0.917,0,0.002,0.112,0.442,0.254,0.192,8,11,0.292,0.192,0.108,0.078,0.258,12,21.31,2139,2030,b,303,0.172
589,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.459,0.057,0.186,0.113,0.484,0.202,0.271,0.013,0.006,0.987,0.005,0.001,0.166172107,0.368941642,0.318496538,0.146389713,10,16,0.322,0.115,0.109,0.033,0.322,10,110.45,3540,1769,b,238,0.188
590,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.548,0.026,0.179,0.1,0.521,0.197,0.272,0.012,0.007,0.972,0.002,0.004,0.079522863,0.348906561,0.371769384,0.199801193,10,16,0.285,0.172,0.103,0.058,0.308,11,110.45,4820,1209,a,266,0.195
591,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.527,0.047,0.177,0.065,0.498,0.242,0.145,0.069,0.043,0.851,0.01,0.016,0.122754491,0.306387226,0.283433134,0.28742515,11,8,0.304,0.203,0.092,0.065,0.249,13,13.29,7390,2290,a,204,0.139
592,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.396,0.066,0.153,0.074,0.498,0.189,0.206,0.052,0.019,0.824,0.005,0.05,0.048144433,0.237713139,0.401203611,0.312938816,11,9,0.269,0.151,0.099,0.042,0.17,11,9.03,1520,2319,b,184,0.161
593,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.492,0.039,0.212,0.103,0.492,0.234,0.222,0.079,0.004,0.908,0.013,0,0.108782435,0.371257485,0.320359281,0.199600798,14,14,0.326,0.238,0.105,0.063,0.307,10,35.65,1459,2950,a,278,0.107
594,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Farm-dependent,0.452,0.068,0.328,0.075,0.491,0.346,0.106,0.62,0.007,0.365,0.04,0.011,0.337337337,0.26026026,0.272272272,0.13013013,20,6,0.362,0.107,0.105,0.073,0.256,11,9.99,1270,1579,a,259,0.111
595,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.44,0.081,0.24,0.073,0.518,0.22,0.164,0.005,0.05,0.905,0.001,0.011,0.174219537,0.407854985,0.266868077,0.151057402,14,11,0.309,0.232,0.132,0.071,0.278,13,21.56,3669,1229,b,310,0.124
596,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.35,0.072,0.26,0.107,0.462,0.191,0.204,0.033,0.082,0.862,0.013,0.004,0.214990138,0.412228797,0.297830375,0.07495069,11,15,0.361,0.307,0.139,0.082,0.334,12,39.54,4389,5489,b,293,0.065
597,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.591,0.029,0.183,0.087,0.505,0.229,0.244,0.005,0.001,0.953,0.021,0.007,0.149253731,0.404975124,0.254726368,0.191044776,13,16,0.299,0.125,0.084,0.066,0.344,12,110.45,3139,2970,b,198,0.167
598,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Nonspecialized,0.46,0.05,0.216,0.08,0.5,0.233,0.169,0.038,0.013,0.954,0.012,0.005,0.175050302,0.430583501,0.283702213,0.110663984,12,12,0.346,0.337,0.098,0.068,0.368,13,31.49,11589,3309,a,352,0.207
599,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.544,0.031,0.182,0.072,0.51,0.251,0.153,0.102,0.031,0.812,0,0.022,0.09970385,0.336623889,0.324777887,0.238894373,13,10,0.324,0.18,0.107,0.081,0.252,10,8.39,1789,1239,b,254,0.158
600,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Nonspecialized,0.471,0.04,0.264,0.15,0.485,0.315,0.152,0.137,0.007,0.853,0.018,0.009,0.120567376,0.291793313,0.387031408,0.200607903,16,9,0.295,0.114,0.079,0.08,0.239,12,21.22,1579,1800,b,249,0.054
601,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Farm-dependent,0.559,0.039,0.115,0.072,0.491,0.23,0.204,0.043,0.01,0.893,0.038,0.012,0.08989899,0.374747475,0.36969697,0.165656566,12,11,0.274,0.301,0.093,0.064,0.198,13,21.9,2529,1260,a,206,0.244
602,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",Federal/State government-dependent,0.495,0.109,0.264,0.129,0.495,0.194,0.212,0.812,0.003,0.181,0.024,0.004,0.163654618,0.356425703,0.345381526,0.134538153,8,10,0.231,0.172,0.097,0.105,0.251,10,44.1,4709,5579,b,192,0.139
603,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.068,0.187,0.073,0.51,0.24,0.14,0.015,0.008,0.961,0.008,0.002,0.110009911,0.418235877,0.312190287,0.159563925,10,9,0.338,0.247,0.1,0.077,0.301,14,14.82,2490,2239,b,313,0.182
604,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.552,0.026,0.215,0.112,0.488,0.223,0.232,0.025,0,0.947,0.003,0.012,0.09164149,0.38469285,0.349446123,0.174219537,12,12,0.344,0.187,0.104,0.053,0.279,10,26.6,5870,2919,b,232,0.211
605,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.438,0.046,0.229,0.099,0.51,0.298,0.18,0.018,0,0.645,0.323,0,0.115653041,0.3888335,0.315054835,0.180458624,16,10,0.342,0.169,0.123,0.06,0.287,11,25.75,3260,1149,b,225,0.211
606,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.438,0.061,0.239,0.043,0.512,0.255,0.14,0.028,0.007,0.955,0,0.009,0.15984016,0.437562438,0.242757243,0.15984016,13,11,0.373,0.185,0.158,0.065,0.333,13,26.01,3639,1700,b,375,0.114
607,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.514,0.042,0.218,0.091,0.506,0.218,0.164,0.33,0.018,0.54,0.015,0.076,0.164453524,0.197139939,0.31154239,0.326864147,10,9,0.235,0.085,0.071,0.057,0.135,8,9.08,1289,1009,a,226,0.242
608,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.48,0.075,0.135,0.066,0.506,0.207,0.169,0.007,0.015,0.959,0.002,0.004,0.130348259,0.459701493,0.246766169,0.16318408,11,10,0.349,0.248,0.098,0.075,0.26,13,19.74,2350,1709,a,275,0.257
609,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.445,0.06,0.331,0.114,0.522,0.255,0.134,0.111,0.297,0.566,0,0.013,0.206060606,0.335353535,0.296969697,0.161616162,15,10,0.324,0.167,0.132,0.107,0.296,12,20.68,2510,1169,a,323,0.089
610,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Recreation,0.381,0.087,0.227,0.096,0.482,0.195,0.205,0.082,0.013,0.843,0.036,0.011,0.117171717,0.303030303,0.402020202,0.177777778,9,11,0.317,0.246,0.102,0.063,0.225,11,17.01,3159,3810,b,232,0.156
611,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.379,0.057,0.346,0.111,0.498,0.264,0.144,0.062,0.01,0.419,0.435,0.003,0.218811881,0.415841584,0.225742574,0.13960396,15,12,0.347,0.304,0.13,0.077,0.344,11,26.12,4429,2779,a,366,0.118
612,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Manufacturing-dependent,0.414,0.038,0.257,0.109,0.513,0.227,0.206,0.078,0.002,0.871,0.012,0.003,0.184079602,0.411940299,0.259701493,0.144278607,12,11,0.313,0.309,0.109,0.076,0.325,10,24.64,3950,1970,a,350,0.154
613,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.509,0.024,0.124,0.057,0.498,0.257,0.176,0.024,0.002,0.954,0.005,0,0.070351759,0.31758794,0.359798995,0.252261307,11,8,0.293,0.152,0.07,0.067,0.258,11,21.92,2270,1279,a,203,0.189
614,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.555,0.038,0.189,0.104,0.493,0.218,0.248,0.028,0.005,0.956,0.008,0.003,0.096774194,0.383064516,0.348790323,0.171370968,12,11,0.331,0.193,0.105,0.055,0.315,10,25.92,5620,2869,a,232,0.214
615,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a large metro area,Manufacturing-dependent,0.544,0.048,0.095,0.069,0.505,0.244,0.157,0.052,0.006,0.929,0.009,0.009,0.082178218,0.371287129,0.363366337,0.183168317,11,9,0.309,0.138,0.08,0.045,0.193,13,10.93,1349,1130,b,207,0.168
616,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Recreation,0.385,0.105,0.231,0.105,0.503,0.17,0.275,0.356,0,0.612,0.054,0.005,0.114885115,0.275724276,0.344655345,0.264735265,7,15,0.207,0.305,0.089,0.144,0.259,13,37.68,6759,1629,b,247,0.153
617,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.498,0.069,0.11,0.039,0.497,0.217,0.152,0.078,0.058,0.78,0.01,0.041,0.091457286,0.312562814,0.27638191,0.31959799,10,9,0.261,0.174,0.075,0.067,0.22,10,9.16,1650,1590,b,220,0.189
618,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.542,0.041,0.092,0.044,0.487,0.277,0.099,0.03,0.012,0.925,0.011,0.012,0.054711246,0.270516717,0.410334347,0.26443769,13,5,0.303,0.23,0.067,0.066,0.248,12,12.49,2409,2349,b,187,0.242
619,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Federal/State government-dependent,0.467,0.063,0.145,0.057,0.513,0.18,0.17,0.014,0.01,0.969,0.005,0.005,0.110772358,0.467479675,0.218495935,0.203252033,9,11,0.334,0.171,0.109,0.068,0.24,14,22.05,2609,2199,a,289,0.123
620,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.531,0.045,0.123,0.036,0.513,0.251,0.123,0.07,0.08,0.773,0.004,0.045,0.070436508,0.251984127,0.284722222,0.392857143,11,7,0.269,0.148,0.081,0.071,0.221,13,9.6,1600,1550,b,246,0.179
621,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.437,0.045,0.207,0.095,0.449,0.206,0.124,0.037,0.156,0.792,0.016,0,0.121,0.385,0.335,0.159,11,7,0.374,0.24,0.117,0.094,0.272,12,21.53,6199,3419,a,290,0.216
622,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.56,0.048,0.107,0.051,0.495,0.236,0.158,0.028,0.015,0.93,0.013,0.003,0.072507553,0.349446123,0.348439074,0.229607251,10,9,0.351,0.219,0.094,0.07,0.25,12,17.97,2090,1659,a,235,0.305
623,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",Micropolitan not adjacent to a metro area,Nonspecialized,0.54,0.032,0.169,0.073,0.506,0.246,0.16,0.133,0.017,0.825,0.015,0.01,0.12012012,0.297297297,0.381381381,0.201201201,15,10,0.303,0.176,0.078,0.06,0.249,11,14.79,1029,1339,a,265,0.203
624,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.515,0.036,0.179,0.085,0.5,0.232,0.16,0.019,0.007,0.959,0,0.008,0.086693548,0.429435484,0.297379032,0.186491935,12,9,0.321,0.221,0.106,0.084,0.207,13,17.7,2559,1959,a,246,0.208
625,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.423,0.075,0.224,0.046,0.503,0.198,0.19,0.016,0.033,0.941,0.002,0.005,0.118236473,0.50501002,0.253507014,0.123246493,11,12,0.345,0.179,0.128,0.083,0.28,13,17.94,3459,2790,a,304,0.067
626,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.509,0.044,0.151,0.075,0.507,0.253,0.162,0.013,0.014,0.938,0.008,0.015,0.065802592,0.335992024,0.319042871,0.279162512,10,8,0.3,0.2,0.106,0.075,0.262,14,8.56,2649,1329,a,253,0.166
627,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.506,0.073,0.153,0.029,0.512,0.232,0.177,0.011,0.005,0.965,0,0.004,0.113659023,0.369890329,0.345962114,0.170488534,9,12,0.299,0.249,0.106,0.067,0.306,12,15.33,2999,4330,b,289,0.204
628,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Manufacturing-dependent,0.519,0.043,0.145,0.063,0.511,0.234,0.158,0.015,0.006,0.966,0.007,0,0.062937063,0.393606394,0.334665335,0.208791209,11,9,0.311,0.217,0.099,0.071,0.27,14,17.97,5159,2850,b,244,0.192
629,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Noncore adjacent to a large metro area,Mining-dependent,0.46,0.04,0.285,0.126,0.506,0.248,0.173,0.079,0.018,0.777,0.082,0.005,0.157,0.433,0.263,0.147,15,12,0.334,0.25,0.115,0.088,0.338,10,41.13,3410,2720,a,395,0.089
630,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.56,0.034,0.237,0.162,0.501,0.178,0.279,0,0,0.969,0.017,0,0.11641791,0.383084577,0.341293532,0.15920398,9,18,0.369,0.48,0.102,0.067,0.336,10,51.35,2350,5579,b,234,0.367
631,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.504,0.06,0.299,0.122,0.503,0.281,0.071,0.211,0.236,0.432,0.007,0.11,0.125502008,0.230923695,0.296184739,0.347389558,13,4,0.246,0.138,0.07,0.076,0.216,13,11.14,1769,1749,b,211,0.144
632,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.467,0.084,0.155,0.029,0.519,0.225,0.164,0.078,0.191,0.704,0,0.014,0.120158888,0.346573982,0.334657398,0.198609732,12,10,0.398,0.196,0.124,0.097,0.273,12,10.98,1690,1189,b,269,0.199
633,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.476,0.068,0.137,0.052,0.507,0.201,0.195,0.014,0.037,0.926,0.001,0.003,0.112662014,0.44666002,0.248255234,0.192422732,11,13,0.318,0.207,0.109,0.091,0.276,14,11.36,1900,2090,a,276,0.109
634,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Federal/State government-dependent,0.361,0.05,0.224,0.094,0.456,0.176,0.181,0.046,0.27,0.661,0.015,0,0.209209209,0.365365365,0.292292292,0.133133133,10,13,0.335,0.189,0.126,0.103,0.325,12,24.51,4890,2220,a,321,0.106
635,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.48,0.053,0.193,0.076,0.512,0.222,0.18,0.066,0.063,0.851,0.012,0.012,0.152694611,0.308383234,0.29241517,0.246506986,9,10,0.275,0.222,0.119,0.077,0.261,13,19.44,3479,2589,b,224,0.117
636,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.491,0.042,0.135,0.049,0.507,0.202,0.2,0,0.007,0.958,0,0.007,0.095332671,0.468718967,0.251241311,0.184707051,10,12,0.319,0.278,0.113,0.093,0.228,13,20.92,2719,1640,a,289,0.204
637,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Recreation,0.509,0.045,0.123,0.061,0.488,0.19,0.167,0.015,0.018,0.928,0.026,0.013,0.073219659,0.292878636,0.364092277,0.269809428,10,10,0.275,0.223,0.087,0.061,0.19,11,11.25,1420,820,b,215,0.189
638,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore adjacent to micro area and contains a town of 2,500-19,999 residents",Mining-dependent,0.639,0.012,0.227,0.146,0.476,0.24,0.134,0.03,0.011,0.921,0.009,0.005,0.079365079,0.374007937,0.373015873,0.173611111,16,9,0.309,0.192,0.069,0.076,0.295,10,30.92,2709,1680,b,290,0.207
639,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.55,0.041,0.209,0.087,0.501,0.259,0.197,0.047,0.006,0.838,0.097,0.007,0.076086957,0.394268775,0.333003953,0.196640316,11,12,0.311,0.203,0.12,0.05,0.306,8,27.58,3329,890,a,307,0.089
